Date,Closing Price,Opening Price,Highest Price,Lowest Price
01/12/2023,42.3,41.9,42.45,40.8
30/11/2023,41.5,41.85,42.5,41.5
29/11/2023,41.85,40.95,42.2,40.95
28/11/2023,40.65,40.5,40.9,39.45
27/11/2023,40.5,41.8,42,40.5
24/11/2023,42,40.9,42,39.5
23/11/2023,40.55,43.9,43.9,40.55
22/11/2023,43.6,42.05,43.6,42.05
21/11/2023,42.05,41.65,42.25,41.3
17/11/2023,40.3,41.6,41.8,39.9
16/11/2023,41.5,40.9,41.5,40.5
15/11/2023,41,41.7,42.25,40.55
14/11/2023,40.5,41.6,41.65,40.1
13/11/2023,40.5,40.05,40.5,39
10/11/2023,39.85,39.8,41.75,39.75
09/11/2023,40.5,41,41.8,40.5
08/11/2023,40.75,38,40.75,37.85
07/11/2023,38.1,38.5,39.2,37.9
06/11/2023,38.7,38.2,38.7,37.6
03/11/2023,37.5,37.5,38.5,37.25
02/11/2023,37.2,35.4,37.2,35.15
01/11/2023,34.8,32.8,34.8,32.5
31/10/2023,32.6,35.35,35.4,32.6
30/10/2023,35.05,35.1,36.4,34.9
27/10/2023,35.6,34.65,35.85,34
26/10/2023,34,35.3,35.45,33.9
25/10/2023,36.45,36.9,37.7,36.2
24/10/2023,36.85,36.6,36.85,35.9
20/10/2023,37.3,35.25,37.3,34.35
19/10/2023,34.9,37.4,37.8,34.9
18/10/2023,37.5,38.5,39.25,35.4
17/10/2023,38.05,41.2,41.7,38.05
16/10/2023,40.9,42,42.2,40.8
13/10/2023,42.4,41.8,42.5,40.75
12/10/2023,42.45,42,42.9,41.9
10/10/2023,40,40.95,41.75,40
09/10/2023,40.5,39.1,40.5,38.6
06/10/2023,39,37.9,39.25,36.75
05/10/2023,37.9,40,40.5,37.9
04/10/2023,39.9,37.6,41.15,37.5
03/10/2023,38.9,41.2,41.5,38.9
02/10/2023,41.8,41.7,42.4,41.2
29/09/2023,41.25,42.8,42.8,40.7
28/09/2023,42.1,42.5,42.95,41.55
27/09/2023,43,42,43,40
26/09/2023,40.75,40.75,43.3,40.3
22/09/2023,43.8,45.55,45.75,43.75
21/09/2023,47,49.5,49.65,47
20/09/2023,49.8,47.9,49.8,47.5
19/09/2023,47.5,47.7,48.25,46.65
18/09/2023,47.7,47.15,48.3,46.65
15/09/2023,47.7,48.5,48.85,47.45
14/09/2023,48.4,49.4,49.4,47.8
13/09/2023,49.3,50.7,50.7,48.8
12/09/2023,50.5,47.7,50.5,47.5
11/09/2023,47.5,47.5,48.9,47
08/09/2023,46.9,46.4,47.2,46.3
07/09/2023,46.7,47.8,47.8,46.65
06/09/2023,47.5,46.4,48.1,46
31/08/2023,47.1,46.75,47.2,46.5
30/08/2023,46.9,45.4,47,44.9
29/08/2023,45.3,44.4,45.4,43.7
28/08/2023,44,44,44.45,43.7
25/08/2023,43.6,43.35,44.25,43.1
23/08/2023,42,42.85,42.85,41.7
22/08/2023,42.5,40.5,42.5,39.1
21/08/2023,40.4,41,41,40
18/08/2023,40.2,42.9,43.35,40.2
17/08/2023,43.2,43.3,44.45,43.2
16/08/2023,43,43.15,43.65,42.5
15/08/2023,43.15,43.7,43.75,43.05
14/08/2023,43.7,42.6,44.45,42.1
11/08/2023,42.1,42.5,42.85,41.75
10/08/2023,42.5,43.4,43.5,42.4
09/08/2023,43.5,43.6,44.2,43.3
08/08/2023,44.1,45,45,43.7
07/08/2023,44.8,44.85,44.9,44.4
04/08/2023,44.55,42.7,44.55,42.7
03/08/2023,42.7,42.7,43.5,42.65
02/08/2023,42.6,42.05,42.85,42.05
01/08/2023,42.2,43.7,43.7,42.2
31/07/2023,43.5,43.3,43.9,42.75
28/07/2023,43.3,42.65,43.95,42.6
25/07/2023,43,42.25,43.45,42.25
24/07/2023,42.25,43,43.15,42.15
21/07/2023,42.5,41.55,42.85,41.3
20/07/2023,42,42.3,42.4,41.05
19/07/2023,42.3,41.9,43.2,41.7
18/07/2023,41.9,42.1,42.5,41.6
17/07/2023,42.3,43,43,42.25
14/07/2023,42.75,42,42.75,41.05
13/07/2023,41.75,41.85,42.2,41.5
12/07/2023,41.4,41.6,42.7,41.4
11/07/2023,41.4,41.6,41.75,40.95
10/07/2023,41.7,40.8,41.85,40.8
07/07/2023,40.8,40.2,40.85,39.5
06/07/2023,40.2,39.4,40.8,39.25
05/07/2023,39.25,39.8,39.85,39.05
04/07/2023,39.75,37.2,39.75,37
03/07/2023,37.15,36.85,37.4,36.65
30/06/2023,36.6,36.4,37.25,36.3
28/06/2023,38,37.8,38.3,37.5
27/06/2023,37.55,37.9,37.9,37.3
26/06/2023,37.5,37.5,37.8,36
23/06/2023,37.5,37.45,37.7,36.85
22/06/2023,37.4,37.95,37.95,37.1
21/06/2023,37.7,37.1,38.35,37.05
19/06/2023,36.65,35.4,36.8,35.2
16/06/2023,35.1,34.85,36.7,34.6
15/06/2023,34.35,34.3,34.65,34.05
14/06/2023,34.25,34.5,35.1,34.25
13/06/2023,34.3,34.95,34.95,34.2
12/06/2023,34.7,34.9,34.9,33.75
09/06/2023,34.8,34.15,34.8,33.25
08/06/2023,34,35.25,35.4,34
07/06/2023,35.25,35.5,35.6,35
06/06/2023,35.2,34.4,35.35,34.1
05/06/2023,34.35,35.25,35.35,34.25
02/06/2023,35,35.1,35.9,35
31/05/2023,34.6,34.7,35.2,34.2
30/05/2023,35,35,35.4,34.5
29/05/2023,35,34.4,35.4,34
26/05/2023,34,34.1,34.4,33.9
25/05/2023,34,33.8,34.2,33.5
24/05/2023,34,34.2,34.7,33.8
23/05/2023,33.85,34.35,34.75,33.8
22/05/2023,34.2,34,34.4,33.75
19/05/2023,33.95,33.9,34.4,33.25
18/05/2023,33.9,32.4,34.45,32.15
17/05/2023,32.2,32.5,32.85,32.2
16/05/2023,32.4,32.35,32.9,32.25
12/05/2023,33.05,32.4,33.1,32.05
11/05/2023,32.4,32.8,33,32.3
10/05/2023,32.65,33,33.3,32.6
09/05/2023,32.7,32.95,32.95,32.5
08/05/2023,32.75,32.3,33.1,32.1
05/05/2023,31.9,32.5,32.65,31.8
28/04/2023,31.8,31.2,31.95,31
27/04/2023,30.85,31.2,31.4,30.6
26/04/2023,31.1,30.4,31.15,30
25/04/2023,30,31.6,31.6,29.55
24/04/2023,31.15,31.55,31.9,30.8
21/04/2023,31.6,31.4,32.4,31.2
20/04/2023,31.3,31.45,31.75,30.85
19/04/2023,31.45,32.2,32.5,31.15
18/04/2023,32.2,31.2,32.2,30.85
17/04/2023,31.15,30.8,31.5,30.45
14/04/2023,30.8,31.95,32.25,30.8
13/04/2023,31.7,32.55,32.6,31.7
12/04/2023,32.55,33.2,33.2,32.45
